Päivämäärä;Huopalahti (asema);Kaisaniemi;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto (Ooppera);Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Eteläesplanadi;Baana
to 5 kesä 2014 22:00;;49;;;;;;0;60;85;;60;;;41;93
to 5 kesä 2014 23:00;;29;;;;;;4;22;34;;53;;;39;40
pe 6 kesä 2014 00:00;;19;;;;;;1;20;9;;39;;;23;33
pe 6 kesä 2014 01:00;;8;;;;;;0;9;7;;26;;;9;14
pe 6 kesä 2014 02:00;;4;;;;;;1;6;10;;22;;;7;8
pe 6 kesä 2014 03:00;;8;;;;;;0;2;3;;13;;;6;5
pe 6 kesä 2014 04:00;;6;;;;;;1;5;2;;15;;;3;3
pe 6 kesä 2014 05:00;;16;;;;;;0;20;24;;10;;;32;30
pe 6 kesä 2014 06:00;;61;;;;;;2;172;117;;32;;;97;138
pe 6 kesä 2014 07:00;;226;;;;;;8;379;306;;36;;;228;375
pe 6 kesä 2014 08:00;;295;;;;;;11;352;452;;91;;;260;467
pe 6 kesä 2014 09:00;;172;;;;;;4;135;253;;88;;;145;299
pe 6 kesä 2014 10:00;;107;;;;;;3;95;166;;84;;;130;173
pe 6 kesä 2014 11:00;;39;;;;;;3;99;148;;75;;;125;173
pe 6 kesä 2014 12:00;;102;;;;;;0;130;150;;102;;;158;171
pe 6 kesä 2014 13:00;;122;;;;;;1;143;207;;127;;;183;189
pe 6 kesä 2014 14:00;;157;;;;;;7;238;230;;117;;;161;253
pe 6 kesä 2014 15:00;;180;;;;;;9;301;223;;89;;;244;288
pe 6 kesä 2014 16:00;;266;;;;;;10;350;408;;127;;;187;412
pe 6 kesä 2014 17:00;;196;;;;;;14;230;313;;153;;;191;310
pe 6 kesä 2014 18:00;;157;;;;;;9;156;257;;148;;;147;243
pe 6 kesä 2014 19:00;;102;;;;;;5;144;184;;99;;;110;195
pe 6 kesä 2014 20:00;;98;;;;;;3;123;154;;116;;;89;146
pe 6 kesä 2014 21:00;;80;;;;;;6;78;71;;103;;;80;112
pe 6 kesä 2014 22:00;;57;;;;;;1;53;31;;63;;;77;71
pe 6 kesä 2014 23:00;;50;;;;;;0;38;0;;64;;;50;55
la 7 kesä 2014 00:00;;38;;;;;;2;25;11;;88;;;36;41
la 7 kesä 2014 01:00;;32;;;;;;0;20;16;;59;;;27;21
la 7 kesä 2014 02:00;;19;;;;;;3;16;17;;50;;;22;32
la 7 kesä 2014 03:00;;11;;;;;;1;13;16;;32;;;17;11
la 7 kesä 2014 04:00;;3;;;;;;1;8;10;;15;;;2;5
la 7 kesä 2014 05:00;;9;;;;;;0;3;12;;16;;;9;12
la 7 kesä 2014 06:00;;14;;;;;;0;33;9;;12;;;10;26
la 7 kesä 2014 07:00;;17;;;;;;1;34;0;;12;;;23;35
la 7 kesä 2014 08:00;;37;;;;;;1;32;16;;12;;;49;70
la 7 kesä 2014 09:00;;62;;;;;;0;74;101;;37;;;82;99
la 7 kesä 2014 10:00;;42;;;;;;1;62;81;;60;;;103;115
la 7 kesä 2014 11:00;;76;;;;;;3;107;145;;77;;;93;153
la 7 kesä 2014 12:00;;83;;;;;;5;107;217;;87;;;133;180
la 7 kesä 2014 13:00;;120;;;;;;7;137;166;;106;;;118;189
la 7 kesä 2014 14:00;;101;;;;;;2;90;104;;126;;;142;162
la 7 kesä 2014 15:00;;110;;;;;;3;108;1;;111;;;150;153
la 7 kesä 2014 16:00;;98;;;;;;7;143;143;;148;;;114;154
la 7 kesä 2014 17:00;;116;;;;;;9;137;139;;143;;;116;165
la 7 kesä 2014 18:00;;136;;;;;;6;132;155;;100;;;92;134
la 7 kesä 2014 19:00;;89;;;;;;2;129;120;;96;;;48;104
la 7 kesä 2014 20:00;;67;;;;;;4;87;107;;76;;;52;107
la 7 kesä 2014 21:00;;43;;;;;;4;71;96;;76;;;39;93
la 7 kesä 2014 22:00;;41;;;;;;1;59;58;;66;;;52;54
la 7 kesä 2014 23:00;;29;;;;;;2;39;22;;60;;;41;43
su 8 kesä 2014 00:00;;18;;;;;;1;25;22;;68;;;30;36
su 8 kesä 2014 01:00;;14;;;;;;0;19;21;;66;;;39;29
su 8 kesä 2014 02:00;;13;;;;;;1;10;12;;53;;;22;18
su 8 kesä 2014 03:00;;12;;;;;;2;12;19;;36;;;6;10
su 8 kesä 2014 04:00;;5;;;;;;2;6;17;;22;;;9;1
su 8 kesä 2014 05:00;;6;;;;;;0;2;2;;12;;;6;7
su 8 kesä 2014 06:00;;16;;;;;;1;25;16;;7;;;11;15
su 8 kesä 2014 07:00;;8;;;;;;1;20;15;;7;;;4;18
su 8 kesä 2014 08:00;;8;;;;;;0;16;12;;4;;;16;17
su 8 kesä 2014 09:00;;28;;;;;;2;37;44;;20;;;44;42
su 8 kesä 2014 10:00;;49;;;;;;0;73;56;;35;;;72;59
su 8 kesä 2014 11:00;;66;;;;;;1;69;93;;45;;;73;93
su 8 kesä 2014 12:00;;58;;;;;;3;113;126;;54;;;100;133
su 8 kesä 2014 13:00;;122;;;;;;10;153;172;;78;;;116;182
su 8 kesä 2014 14:00;;127;;;;;;2;193;217;;100;;;155;203
su 8 kesä 2014 15:00;;131;;;;;;10;216;244;;117;;;133;181
su 8 kesä 2014 16:00;;128;;;;;;8;170;220;;119;;;130;233
su 8 kesä 2014 17:00;;133;;;;;;5;173;243;;97;;;103;212
su 8 kesä 2014 18:00;;140;;;;;;3;206;228;;124;;;92;219
su 8 kesä 2014 19:00;;85;;;;;;8;175;185;;73;;;83;156
su 8 kesä 2014 20:00;;96;;;;;;0;148;204;;105;;;43;148
su 8 kesä 2014 21:00;;43;;;;;;5;93;126;;70;;;35;122
su 8 kesä 2014 22:00;;32;;;;;;3;59;66;;49;;;14;57
su 8 kesä 2014 23:00;;11;;;;;;0;31;14;;35;;;17;34
ma 9 kesä 2014 00:00;;17;;;;;;0;6;9;;20;;;7;14
ma 9 kesä 2014 01:00;;3;;;;;;0;4;2;;9;;;7;5
ma 9 kesä 2014 02:00;;3;;;;;;0;4;4;;16;;;8;1
ma 9 kesä 2014 03:00;;2;;;;;;0;2;3;;7;;;2;4
ma 9 kesä 2014 04:00;;2;;;;;;0;5;2;;2;;;3;5
ma 9 kesä 2014 05:00;;14;;;;;;0;23;26;;9;;;39;36
ma 9 kesä 2014 06:00;;70;;;;;;7;194;126;;21;;;109;172
ma 9 kesä 2014 07:00;;250;;;;;;15;456;378;;58;;;291;439
ma 9 kesä 2014 08:00;;388;;;;;;17;473;634;;98;;;333;615
ma 9 kesä 2014 09:00;;222;;;;;;13;201;348;;88;;;151;362
ma 9 kesä 2014 10:00;;94;;;;;;4;105;159;;96;;;118;151
ma 9 kesä 2014 11:00;;96;;;;;;4;109;153;;76;;;148;169
ma 9 kesä 2014 12:00;;89;;;;;;2;105;153;;108;;;161;166
ma 9 kesä 2014 13:00;;111;;;;;;3;122;170;;119;;;172;170
ma 9 kesä 2014 14:00;;149;;;;;;2;154;180;;135;;;218;233
ma 9 kesä 2014 15:00;;273;;;;;;3;358;336;;153;;;325;359
ma 9 kesä 2014 16:00;;399;;;;;;10;537;588;;208;;;382;611
ma 9 kesä 2014 17:00;;330;;;;;;6;442;571;;197;;;255;532
ma 9 kesä 2014 18:00;;195;;;;;;14;257;319;;138;;;153;347
ma 9 kesä 2014 19:00;;150;;;;;;5;189;217;;111;;;87;239
ma 9 kesä 2014 20:00;;123;;;;;;6;168;178;;91;;;67;171
ma 9 kesä 2014 21:00;;74;;;;;;3;124;124;;70;;;37;124
ma 9 kesä 2014 22:00;;26;;;;;;1;44;62;;27;;;32;66
ma 9 kesä 2014 23:00;;17;;;;;;0;12;27;;23;;;18;42
ti 10 kesä 2014 00:00;;5;;;;;;1;8;10;;17;;;7;21
ti 10 kesä 2014 01:00;;4;;;;;;0;2;2;;12;;;10;7
ti 10 kesä 2014 02:00;;4;;;;;;0;4;1;;5;;;2;4
ti 10 kesä 2014 03:00;;4;;;;;;0;2;4;;8;;;1;1
ti 10 kesä 2014 04:00;;5;;;;;;0;5;0;;3;;;5;6
ti 10 kesä 2014 05:00;;13;;;;;;1;27;19;;8;;;34;32
ti 10 kesä 2014 06:00;;74;;;;;;2;184;118;;27;;;121;166
ti 10 kesä 2014 07:00;;262;;;;;;11;421;358;;48;;;282;402
ti 10 kesä 2014 08:00;;355;;;;;;6;398;543;;100;;;311;580
ti 10 kesä 2014 09:00;;209;;;;;;5;180;292;;100;;;158;308
ti 10 kesä 2014 10:00;;79;;;;;;1;93;142;;70;;;119;142
ti 10 kesä 2014 11:00;;68;;;;;;0;92;111;;84;;;128;122
ti 10 kesä 2014 12:00;;78;;;;;;1;101;118;;77;;;133;127
ti 10 kesä 2014 13:00;;81;;;;;;3;94;100;;86;;;114;106
ti 10 kesä 2014 14:00;;120;;;;;;1;106;158;;99;;;158;168
ti 10 kesä 2014 15:00;;202;;;;;;3;300;266;;110;;;292;308
ti 10 kesä 2014 16:00;;314;;;;;;13;421;448;;134;;;246;494
ti 10 kesä 2014 17:00;;271;;;;;;7;314;413;;159;;;195;412
ti 10 kesä 2014 18:00;;149;;;;;;4;216;282;;117;;;109;249
ti 10 kesä 2014 19:00;;100;;;;;;3;130;180;;98;;;88;168
ti 10 kesä 2014 20:00;;86;;;;;;0;104;140;;71;;;58;138
ti 10 kesä 2014 21:00;;46;;;;;;2;54;112;;35;;;44;98
ti 10 kesä 2014 22:00;;27;;;;;;0;29;42;;28;;;30;52
ti 10 kesä 2014 23:00;;22;;;;;;0;19;17;;26;;;15;21
ke 11 kesä 2014 00:00;;9;;;;;;0;4;3;;15;;;7;8
ke 11 kesä 2014 01:00;;2;;;;;;1;4;3;;7;;;2;6
ke 11 kesä 2014 02:00;;3;;;;;;0;6;4;;10;;;0;5
ke 11 kesä 2014 03:00;;3;;;;;;0;0;5;;4;;;1;5
ke 11 kesä 2014 04:00;;1;;;;;;0;2;2;;1;;;7;4
ke 11 kesä 2014 05:00;;15;;;;;;1;28;26;;7;;;38;30
ke 11 kesä 2014 06:00;;71;;;;;;2;168;134;;33;;;112;169
ke 11 kesä 2014 07:00;;225;;;;;;6;0;360;;50;;;276;410
ke 11 kesä 2014 08:00;;348;;;;;;7;375;530;;117;;;292;552
ke 11 kesä 2014 09:00;;241;;;;;;3;200;331;;111;;;179;368
ke 11 kesä 2014 10:00;;119;;;;;;5;106;153;;102;;;138;186
ke 11 kesä 2014 11:00;;132;;;;;;4;88;162;;105;;;176;149
ke 11 kesä 2014 12:00;;124;;;;;;5;135;218;;106;;;148;162
ke 11 kesä 2014 13:00;;120;;;;;;5;119;191;;123;;;161;209
ke 11 kesä 2014 14:00;;136;;;;;;5;175;187;;116;;;209;196
ke 11 kesä 2014 15:00;;249;;;;;;10;353;362;;151;;;317;356
ke 11 kesä 2014 16:00;;400;;;;;;8;472;552;;189;;;368;538
ke 11 kesä 2014 17:00;;326;;;;;;16;385;513;;220;;;265;495
ke 11 kesä 2014 18:00;;244;;;;;;7;309;467;;181;;;197;400
ke 11 kesä 2014 19:00;;195;;;;;;13;218;335;;166;;;142;323
ke 11 kesä 2014 20:00;;169;;;;;;3;201;219;;115;;;108;257
ke 11 kesä 2014 21:00;;97;;;;;;7;156;212;;91;;;84;190
ke 11 kesä 2014 22:00;;54;;;;;;1;62;110;;55;;;43;95
ke 11 kesä 2014 23:00;;33;;;;;;1;35;52;;62;;;35;54
to 12 kesä 2014 00:00;;20;;;;;;1;11;16;;28;;;13;27
to 12 kesä 2014 01:00;;8;;;;;;2;3;5;;21;;;8;10
to 12 kesä 2014 02:00;;3;;;;;;0;5;6;;13;;;4;5
to 12 kesä 2014 03:00;;7;;;;;;0;4;5;;7;;;7;2
to 12 kesä 2014 04:00;;10;;;;;;0;9;6;;7;;;2;5
to 12 kesä 2014 05:00;;13;;;;;;0;17;11;;8;;;19;21
to 12 kesä 2014 06:00;;27;;;;;;1;63;50;;13;;;55;64
to 12 kesä 2014 07:00;;88;;;;;;1;147;109;;18;;;105;140
to 12 kesä 2014 08:00;;156;;;;;;2;151;179;;39;;;124;227
to 12 kesä 2014 09:00;;87;;;;;;1;55;100;;45;;;71;100
to 12 kesä 2014 10:00;;45;;;;;;1;26;42;;42;;;44;48
to 12 kesä 2014 11:00;;30;;;;;;0;25;43;;36;;;51;34
to 12 kesä 2014 12:00;;29;;;;;;1;18;44;;26;;;41;44
to 12 kesä 2014 13:00;;34;;;;;;0;21;43;;22;;;60;46
to 12 kesä 2014 14:00;;31;;;;;;0;33;50;;31;;;65;61
to 12 kesä 2014 15:00;;81;;;;;;0;98;97;;36;;;101;97
to 12 kesä 2014 16:00;;118;;;;;;2;130;142;;42;;;106;168
to 12 kesä 2014 17:00;;103;;;;;;4;125;120;;52;;;90;175
to 12 kesä 2014 18:00;;66;;;;;;1;72;88;;63;;;65;120
to 12 kesä 2014 19:00;;70;;;;;;0;52;85;;60;;;35;83
to 12 kesä 2014 20:00;;55;;;;;;1;43;66;;41;;;29;67
to 12 kesä 2014 21:00;;29;;;;;;0;43;42;;29;;;33;55
to 12 kesä 2014 22:00;;22;;;;;;1;16;27;;33;;;13;23
to 12 kesä 2014 23:00;;10;;;;;;0;4;8;;11;;;15;11
pe 13 kesä 2014 00:00;;10;;;;;;0;0;6;;10;;;9;11
pe 13 kesä 2014 01:00;;2;;;;;;0;5;4;;18;;;3;11
pe 13 kesä 2014 02:00;;4;;;;;;0;1;2;;9;;;1;3
pe 13 kesä 2014 03:00;;1;;;;;;0;0;2;;6;;;2;3
pe 13 kesä 2014 04:00;;3;;;;;;0;6;0;;4;;;2;4
pe 13 kesä 2014 05:00;;10;;;;;;0;12;11;;4;;;18;19
pe 13 kesä 2014 06:00;;30;;;;;;0;77;58;;18;;;68;73
pe 13 kesä 2014 07:00;;123;;;;;;1;200;178;;31;;;107;212
pe 13 kesä 2014 08:00;;150;;;;;;1;181;177;;35;;;127;223
pe 13 kesä 2014 09:00;;72;;;;;;0;70;101;;35;;;52;130
pe 13 kesä 2014 10:00;;30;;;;;;0;42;69;;40;;;43;62
pe 13 kesä 2014 11:00;;40;;;;;;0;28;56;;38;;;65;55
pe 13 kesä 2014 12:00;;45;;;;;;0;31;71;;32;;;64;54
pe 13 kesä 2014 13:00;;54;;;;;;1;37;66;;55;;;64;73
pe 13 kesä 2014 14:00;;64;;;;;;2;68;73;;58;;;90;82
pe 13 kesä 2014 15:00;;92;;;;;;1;146;142;;54;;;144;165
pe 13 kesä 2014 16:00;;135;;;;;;1;163;195;;58;;;107;220
pe 13 kesä 2014 17:00;;98;;;;;;2;91;147;;45;;;82;182
pe 13 kesä 2014 18:00;;80;;;;;;4;71;83;;66;;;50;100
pe 13 kesä 2014 19:00;;54;;;;;;0;59;65;;22;;;46;69
pe 13 kesä 2014 20:00;;34;;;;;;0;43;67;;41;;;41;70
pe 13 kesä 2014 21:00;;23;;;;;;0;23;54;;42;;;30;60
pe 13 kesä 2014 22:00;;11;;;;;;1;15;38;;33;;;15;28
pe 13 kesä 2014 23:00;;11;;;;;;0;9;18;;25;;;27;12
la 14 kesä 2014 00:00;;9;;;;;;0;12;16;;35;;;9;17
la 14 kesä 2014 01:00;;7;;;;;;0;4;7;;22;;;11;9
la 14 kesä 2014 02:00;;5;;;;;;0;3;4;;18;;;9;11
la 14 kesä 2014 03:00;;9;;;;;;0;2;13;;15;;;6;9
la 14 kesä 2014 04:00;;6;;;;;;0;2;9;;9;;;3;2
la 14 kesä 2014 05:00;;4;;;;;;0;1;9;;5;;;3;9
la 14 kesä 2014 06:00;;9;;;;;;0;19;9;;5;;;13;18
la 14 kesä 2014 07:00;;15;;;;;;0;22;23;;6;;;15;33
la 14 kesä 2014 08:00;;20;;;;;;2;23;38;;16;;;35;40
la 14 kesä 2014 09:00;;36;;;;;;0;52;59;;18;;;63;57
la 14 kesä 2014 10:00;;60;;;;;;0;46;80;;53;;;70;84
la 14 kesä 2014 11:00;;65;;;;;;3;49;106;;69;;;121;94
la 14 kesä 2014 12:00;;85;;;;;;4;85;114;;84;;;93;130
la 14 kesä 2014 13:00;;87;;;;;;1;82;133;;82;;;134;129
la 14 kesä 2014 14:00;;107;;;;;;4;74;154;;110;;;124;160
la 14 kesä 2014 15:00;;110;;;;;;2;97;141;;136;;;96;137
la 14 kesä 2014 16:00;;89;;;;;;3;85;145;;83;;;106;130
la 14 kesä 2014 17:00;;87;;;;;;6;71;127;;96;;;84;110
la 14 kesä 2014 18:00;;62;;;;;;2;83;128;;73;;;60;100
la 14 kesä 2014 19:00;;43;;;;;;2;60;83;;63;;;46;92
la 14 kesä 2014 20:00;;53;;;;;;0;57;65;;52;;;35;62
la 14 kesä 2014 21:00;;65;;;;;;1;35;60;;55;;;30;65
la 14 kesä 2014 22:00;;30;;;;;;0;18;45;;47;;;26;36
la 14 kesä 2014 23:00;;16;;;;;;0;19;19;;38;;;54;21
su 15 kesä 2014 00:00;;16;;;;;;0;15;9;;47;;;16;22
su 15 kesä 2014 01:00;;12;;;;;;0;9;12;;37;;;19;16
su 15 kesä 2014 02:00;;5;;;;;;0;5;10;;22;;;20;11
su 15 kesä 2014 03:00;;14;;;;;;0;14;17;;31;;;12;20
su 15 kesä 2014 04:00;;4;;;;;;0;5;15;;15;;;6;6
su 15 kesä 2014 05:00;;3;;;;;;2;3;4;;10;;;5;4
su 15 kesä 2014 06:00;;4;;;;;;0;23;6;;7;;;5;12
su 15 kesä 2014 07:00;;10;;;;;;1;25;16;;4;;;15;22
su 15 kesä 2014 08:00;;9;;;;;;0;28;27;;14;;;29;41
su 15 kesä 2014 09:00;;29;;;;;;0;45;54;;20;;;57;64
su 15 kesä 2014 10:00;;56;;;;;;3;75;120;;50;;;67;94
su 15 kesä 2014 11:00;;71;;;;;;0;98;142;;38;;;112;156
su 15 kesä 2014 12:00;;116;;;;;;2;123;215;;87;;;126;212
su 15 kesä 2014 13:00;;128;;;;;;4;126;219;;83;;;118;197
su 15 kesä 2014 14:00;;133;;;;;;3;149;254;;113;;;114;215
su 15 kesä 2014 15:00;;121;;;;;;5;138;221;;113;;;104;224
su 15 kesä 2014 16:00;;157;;;;;;3;145;195;;116;;;95;195
su 15 kesä 2014 17:00;;124;;;;;;4;123;214;;117;;;118;181
su 15 kesä 2014 18:00;;92;;;;;;3;129;207;;93;;;78;164
su 15 kesä 2014 19:00;;52;;;;;;6;112;155;;71;;;54;137
su 15 kesä 2014 20:00;;52;;;;;;2;95;129;;54;;;47;106
su 15 kesä 2014 21:00;;35;;;;;;3;62;93;;47;;;18;91
su 15 kesä 2014 22:00;;34;;;;;;0;36;60;;23;;;18;52
su 15 kesä 2014 23:00;;16;;;;;;0;17;28;;29;;;9;28
ma 16 kesä 2014 00:00;;15;;;;;;0;7;14;;26;;;4;18
ma 16 kesä 2014 01:00;;4;;;;;;0;3;3;;22;;;2;13
ma 16 kesä 2014 02:00;;1;;;;;;0;4;2;;5;;;1;5
ma 16 kesä 2014 03:00;;2;;;;;;0;0;2;;5;;;0;5
ma 16 kesä 2014 04:00;;4;;;;;;0;5;3;;3;;;3;5
ma 16 kesä 2014 05:00;;13;;;;;;0;18;17;;8;;;37;27
ma 16 kesä 2014 06:00;;57;;;;;;2;146;108;;25;;;98;133
ma 16 kesä 2014 07:00;;189;;;;;;2;356;314;;58;;;247;381
ma 16 kesä 2014 08:00;;317;;;;;;2;336;464;;70;;;274;519
ma 16 kesä 2014 09:00;;166;;;;;;0;165;293;;86;;;141;305
ma 16 kesä 2014 10:00;;113;;;;;;2;92;167;;68;;;109;141
ma 16 kesä 2014 11:00;;91;;;;;;0;77;157;;90;;;147;145
ma 16 kesä 2014 12:00;;82;;;;;;1;72;114;;79;;;86;119
ma 16 kesä 2014 13:00;;53;;;;;;2;63;95;;74;;;97;89
ma 16 kesä 2014 14:00;;82;;;;;;3;90;112;;76;;;148;116
ma 16 kesä 2014 15:00;;179;;;;;;34;207;251;;100;;;223;242
ma 16 kesä 2014 16:00;;255;;;;;;100;238;333;;113;;;194;415
ma 16 kesä 2014 17:00;;177;;;;;;95;266;359;;95;;;160;367
ma 16 kesä 2014 18:00;;137;;;;;;52;140;222;;85;;;112;235
ma 16 kesä 2014 19:00;;91;;;;;;43;78;160;;65;;;59;163
ma 16 kesä 2014 20:00;;57;;;;;;31;56;107;;54;;;39;97
ma 16 kesä 2014 21:00;;41;;;;;;19;37;64;;37;;;27;70
ma 16 kesä 2014 22:00;;16;;;;;;9;15;54;;10;;;17;34
ma 16 kesä 2014 23:00;;8;;;;;;6;9;12;;14;;;6;23
ti 17 kesä 2014 00:00;;2;;;;;;0;8;9;;13;;;7;12
ti 17 kesä 2014 01:00;;1;;;;;;1;3;3;;5;;;2;8
ti 17 kesä 2014 02:00;;0;;;;;;0;3;0;;4;;;1;3
ti 17 kesä 2014 03:00;;3;;;;;;0;0;5;;6;;;1;1
ti 17 kesä 2014 04:00;;3;;;;;;0;4;3;;1;;;3;4
ti 17 kesä 2014 05:00;;15;;;;;;7;13;14;;5;;;25;25
ti 17 kesä 2014 06:00;;51;;;;;;43;101;105;;22;;;93;123
ti 17 kesä 2014 07:00;;198;;;;;;117;263;219;;38;;;218;306
ti 17 kesä 2014 08:00;;231;;;;;;123;238;379;;59;;;224;437
ti 17 kesä 2014 09:00;;178;;;;;;63;117;222;;73;;;165;239
ti 17 kesä 2014 10:00;;81;;;;;;29;57;110;;68;;;125;109
ti 17 kesä 2014 11:00;;69;;;;;;23;32;61;;50;;;67;71
ti 17 kesä 2014 12:00;;51;;;;;;18;41;154;;55;;;94;88
ti 17 kesä 2014 13:00;;63;;;;;;24;51;77;;65;;;101;105
ti 17 kesä 2014 14:00;;74;;;;;;28;57;93;;71;;;104;116
ti 17 kesä 2014 15:00;;158;;;;;;100;152;189;;94;;;151;239
ti 17 kesä 2014 16:00;;250;;;;;;119;244;315;;109;;;232;385
ti 17 kesä 2014 17:00;;189;;;;;;113;209;327;;121;;;227;366
ti 17 kesä 2014 18:00;;129;;;;;;97;128;230;;112;;;139;254
ti 17 kesä 2014 19:00;;92;;;;;;65;77;165;;82;;;114;172
ti 17 kesä 2014 20:00;;62;;;;;;63;70;138;;51;;;85;143
ti 17 kesä 2014 21:00;;44;;;;;;32;61;109;;58;;;49;106
ti 17 kesä 2014 22:00;;19;;;;;;21;29;50;;32;;;25;45
ti 17 kesä 2014 23:00;;10;;;;;;7;10;15;;19;;;23;24
ke 18 kesä 2014 00:00;;18;;;;;;2;3;9;;27;;;15;21
ke 18 kesä 2014 01:00;;6;;;;;;3;3;2;;14;;;7;7
ke 18 kesä 2014 02:00;;4;;;;;;0;0;1;;5;;;1;2
ke 18 kesä 2014 03:00;;0;;;;;;1;1;4;;3;;;0;4
ke 18 kesä 2014 04:00;;3;;;;;;1;5;4;;9;;;0;4
ke 18 kesä 2014 05:00;;7;;;;;;5;10;20;;12;;;6;28
ke 18 kesä 2014 06:00;;53;;;;;;44;71;76;;18;;;40;104
ke 18 kesä 2014 07:00;;122;;;;;;124;187;192;;35;;;108;243
ke 18 kesä 2014 08:00;;247;;;;;;104;215;329;;55;;;229;364
ke 18 kesä 2014 09:00;;129;;;;;;58;77;198;;67;;;130;231
ke 18 kesä 2014 10:00;;67;;;;;;14;51;114;;54;;;102;120
ke 18 kesä 2014 11:00;;68;;;;;;16;56;88;;91;;;108;102
ke 18 kesä 2014 12:00;;56;;;;;;21;40;141;;72;;;93;95
ke 18 kesä 2014 13:00;;51;;;;;;21;44;88;;54;;;99;96
ke 18 kesä 2014 14:00;;82;;;;;;28;38;110;;84;;;128;127
ke 18 kesä 2014 15:00;;156;;;;;;83;140;200;;84;;;173;226
ke 18 kesä 2014 16:00;;231;;;;;;127;215;305;;115;;;212;374
ke 18 kesä 2014 17:00;;173;;;;;;113;156;295;;94;;;191;321
ke 18 kesä 2014 18:00;;139;;;;;;85;142;219;;103;;;145;226
ke 18 kesä 2014 19:00;;106;;;;;;58;94;161;;92;;;84;173
ke 18 kesä 2014 20:00;;98;;;;;;56;83;151;;94;;;85;144
ke 18 kesä 2014 21:00;;58;;;;;;37;53;129;;62;;;53;112
ke 18 kesä 2014 22:00;;34;;;;;;29;29;39;;40;;;32;55
ke 18 kesä 2014 23:00;;16;;;;;;9;11;24;;29;;;30;34
to 19 kesä 2014 00:00;;9;;;;;;4;7;16;;35;;;17;20
to 19 kesä 2014 01:00;;6;;;;;;0;1;5;;17;;;4;17
to 19 kesä 2014 02:00;;5;;;;;;0;2;1;;12;;;5;8
to 19 kesä 2014 03:00;;3;;;;;;0;0;3;;6;;;1;4
to 19 kesä 2014 04:00;;6;;;;;;0;5;4;;4;;;2;5
to 19 kesä 2014 05:00;;10;;;;;;5;10;10;;8;;;9;25
to 19 kesä 2014 06:00;;59;;;;;;31;85;78;;20;;;53;89
to 19 kesä 2014 07:00;;129;;;;;;123;202;203;;36;;;118;250
to 19 kesä 2014 08:00;;227;;;;;;113;190;308;;62;;;217;356
to 19 kesä 2014 09:00;;156;;;;;;55;93;179;;73;;;134;212
to 19 kesä 2014 10:00;;65;;;;;;34;36;125;;54;;;117;121
to 19 kesä 2014 11:00;;73;;;;;;41;57;95;;74;;;97;121
to 19 kesä 2014 12:00;;70;;;;;;50;54;104;;89;;;101;158
to 19 kesä 2014 13:00;;88;;;;;;55;60;131;;87;;;117;137
to 19 kesä 2014 14:00;;119;;;;;;70;127;200;;106;;;146;214
to 19 kesä 2014 15:00;;199;;;;;;126;172;273;;114;;;209;278
to 19 kesä 2014 16:00;;185;;;;;;104;144;228;;123;;;137;267
to 19 kesä 2014 17:00;;94;;;;;;54;90;165;;88;;;98;175
to 19 kesä 2014 18:00;;73;;;;;;69;57;115;;51;;;71;99
to 19 kesä 2014 19:00;;46;;;;;;34;36;69;;55;;;41;63
to 19 kesä 2014 20:00;;35;;;;;;26;29;44;;41;;;35;52
to 19 kesä 2014 21:00;;25;;;;;;24;32;42;;37;;;25;49
to 19 kesä 2014 22:00;;12;;;;;;17;13;12;;23;;;20;19
to 19 kesä 2014 23:00;;11;;;;;;4;3;16;;13;;;16;11
pe 20 kesä 2014 00:00;;6;;;;;;4;4;7;;14;;;21;12
pe 20 kesä 2014 01:00;;7;;;;;;1;0;3;;20;;;4;8
pe 20 kesä 2014 02:00;;4;;;;;;0;1;1;;11;;;4;1
pe 20 kesä 2014 03:00;;7;;;;;;1;1;2;;5;;;2;2
pe 20 kesä 2014 04:00;;1;;;;;;0;1;1;;5;;;1;5
pe 20 kesä 2014 05:00;;4;;;;;;0;3;2;;2;;;0;6
pe 20 kesä 2014 06:00;;3;;;;;;6;16;19;;2;;;3;17
pe 20 kesä 2014 07:00;;11;;;;;;8;18;21;;18;;;18;19
pe 20 kesä 2014 08:00;;24;;;;;;10;15;27;;10;;;19;30
pe 20 kesä 2014 09:00;;47;;;;;;11;17;58;;17;;;44;46
pe 20 kesä 2014 10:00;;38;;;;;;13;28;63;;24;;;82;67
pe 20 kesä 2014 11:00;;53;;;;;;32;43;95;;53;;;98;92
pe 20 kesä 2014 12:00;;49;;;;;;38;60;95;;44;;;50;117
pe 20 kesä 2014 13:00;;62;;;;;;42;34;76;;40;;;61;87
pe 20 kesä 2014 14:00;;73;;;;;;35;58;92;;38;;;47;102
pe 20 kesä 2014 15:00;;27;;;;;;34;27;59;;28;;;11;56
pe 20 kesä 2014 16:00;;10;;;;;;21;23;26;;19;;;13;25
pe 20 kesä 2014 17:00;;12;;;;;;25;23;21;;18;;;21;27
pe 20 kesä 2014 18:00;;18;;;;;;14;30;38;;26;;;15;41
